realtime_start,realtime_end,date,value
2023-04-08,2023-04-08,1951-01-01,2313.197608468671
2023-04-08,2023-04-08,1951-02-01,2295.6890062289604
2023-04-08,2023-04-08,1951-03-01,2554.677438613638
2023-04-08,2023-04-08,1951-04-01,2502.487738541236
2023-04-08,2023-04-08,1951-05-01,2534.983958694696
2023-04-08,2023-04-08,1951-06-01,2392.1527074596825
2023-04-08,2023-04-08,1951-07-01,2388.251430501963
2023-04-08,2023-04-08,1951-08-01,2404.2658559580577
2023-04-08,2023-04-08,1951-09-01,2478.510656456226
2023-04-08,2023-04-08,1951-10-01,2472.5206378686835
2023-04-08,2023-04-08,1951-11-01,2430.5734996038004
2023-04-08,2023-04-08,1951-12-01,2401.748938828151
2023-04-08,2023-04-08,1952-01-01,2550.836801451024
2023-04-08,2023-04-08,1952-02-01,2584.925183361308
2023-04-08,2023-04-08,1952-03-01,2476.143674767478
2023-04-08,2023-04-08,1952-04-01,2453.2823254011823
2023-04-08,2023-04-08,1952-05-01,2409.35182535962
2023-04-08,2023-04-08,1952-06-01,2261.840409886414
2023-04-08,2023-04-08,1952-07-01,2153.6068769583117
2023-04-08,2023-04-08,1952-08-01,2310.8075171407636
2023-04-08,2023-04-08,1952-09-01,2598.045727304079
2023-04-08,2023-04-08,1952-10-01,2600.743454249775
2023-04-08,2023-04-08,1952-11-01,2726.5447500426476
2023-04-08,2023-04-08,1952-12-01,2535.40455402522
2023-04-08,2023-04-08,1953-01-01,2650.622744883493
2023-04-08,2023-04-08,1953-02-01,2759.697653551571
2023-04-08,2023-04-08,1953-03-01,2824.4933846681715
2023-04-08,2023-04-08,1953-04-01,2615.901713538886
2023-04-08,2023-04-08,1953-05-01,2581.46594763329
2023-04-08,2023-04-08,1953-06-01,2413.3934237903823
2023-04-08,2023-04-08,1953-07-01,2226.6390682716456
2023-04-08,2023-04-08,1953-08-01,2171.6760265075354
2023-04-08,2023-04-08,1953-09-01,2122.211969618775
2023-04-08,2023-04-08,1953-10-01,1917.7404704225978
2023-04-08,2023-04-08,1953-11-01,1734.0365866058785
2023-04-08,2023-04-08,1953-12-01,1462.7791534909186
2023-04-08,2023-04-08,1954-01-01,1493.2391371138267
2023-04-08,2023-04-08,1954-02-01,1431.554148893044
2023-04-08,2023-04-08,1954-03-01,1379.8822895071585
2023-04-08,2023-04-08,1954-04-01,1335.6524734614115
2023-04-08,2023-04-08,1954-05-01,1306.6975751046684
2023-04-08,2023-04-08,1954-06-01,1299.884483704044
2023-04-08,2023-04-08,1954-07-01,1275.636925735441
2023-04-08,2023-04-08,1954-08-01,1260.2423932407362
2023-04-08,2023-04-08,1954-09-01,1234.5605585700291
2023-04-08,2023-04-08,1954-10-01,1264.772437161375
2023-04-08,2023-04-08,1954-11-01,1367.359268395291
2023-04-08,2023-04-08,1954-12-01,1334.3631405239314
2023-04-08,2023-04-08,1955-01-01,1524.1990284007506
2023-04-08,2023-04-08,1955-02-01,1519.0953107966552
2023-04-08,2023-04-08,1955-03-01,1688.8757293141864
2023-04-08,2023-04-08,1955-04-01,1742.7152728082408
2023-04-08,2023-04-08,1955-05-01,1856.8014605732155
2023-04-08,2023-04-08,1955-06-01,1835.8718921647305
2023-04-08,2023-04-08,1955-07-01,1999.2740501477774
2023-04-08,2023-04-08,1955-08-01,2085.4012724727277
2023-04-08,2023-04-08,1955-09-01,2062.6295885003074
2023-04-08,2023-04-08,1955-10-01,2178.2145749697534
2023-04-08,2023-04-08,1955-11-01,2221.988853758909
2023-04-08,2023-04-08,1955-12-01,2100.5913307232568
2023-04-08,2023-04-08,1956-01-01,2345.356427922901
2023-04-08,2023-04-08,1956-02-01,2334.939526942199
2023-04-08,2023-04-08,1956-03-01,2165.4610127498768
2023-04-08,2023-04-08,1956-04-01,2180.6240790498314
2023-04-08,2023-04-08,1956-05-01,2220.366741851998
2023-04-08,2023-04-08,1956-06-01,2195.0378383553943
