date,emp_headline,emp_nonagri,emp_perpop,emp_perlabforce,emp_selfemply,emp_pt_econ,emp_pt_econ_slack,emp_pt_econ_only,emp_pt_econ_not,emp_pt_hours,vacancy,vacancy_ratio
1980-01-01,90800.0,96563.0,60.0,0.8520861094949419,6926.0,3526.0,1788.0,1346.0,12902.0,21.9,5004.022251503782,0.697441269
1980-02-01,90883.0,96598.0,60.0,0.8517858983851467,7005.0,3531.0,1672.0,1427.0,12705.0,21.8,4892.006686725785,0.679946285
1980-03-01,90994.0,96295.0,59.7,0.854869318502095,6979.0,3500.0,1703.0,1424.0,12681.0,22.2,4821.278988534015,0.667409719
1980-04-01,90849.0,95907.0,59.4,0.8523139852332748,6913.0,3922.0,2081.0,1466.0,12405.0,22.2,4256.547071700167,0.538869258
1980-05-01,90420.0,95563.0,59.1,0.8456078332351373,6894.0,4428.0,2397.0,1569.0,12520.0,22.7,3914.207531310209,0.456663327
1980-06-01,90101.0,95386.0,58.9,0.8438003371417868,6857.0,4270.0,2465.0,1566.0,12684.0,22.0,3967.976821605233,0.45640899
1980-07-01,89840.0,95477.0,58.8,0.8383803506938288,6994.0,4240.0,2353.0,1595.0,12673.0,21.8,3982.060575261239,0.443501136
1980-08-01,90099.0,95590.0,58.8,0.8412212315017973,7025.0,4374.0,2256.0,1763.0,12541.0,22.0,3999.8551824322617,0.449945659
1980-09-01,90213.0,95634.0,58.9,0.8423406599563017,7071.0,4266.0,2171.0,1733.0,12314.0,22.5,4177.793488068038,0.485101608
1980-10-01,90490.0,95945.0,58.9,0.8425119873376472,7117.0,4234.0,2140.0,1760.0,12418.0,22.2,4189.769272871086,0.482566766
1980-11-01,90747.0,96149.0,59.0,0.8436244979919679,7064.0,4207.0,2054.0,1774.0,12520.0,21.8,4375.109503511993,0.507914745
1980-12-01,90943.0,96142.0,59.0,0.8471477010209405,7146.0,4184.0,2119.0,1691.0,12445.0,21.7,4207.548720119116,0.507774035
1981-01-01,91033.0,96526.0,59.1,0.8426952770629293,7009.0,4312.0,2112.0,1805.0,12561.0,21.7,4114.136230037579,0.474786272
1981-02-01,91105.0,96846.0,59.2,0.8416788307680937,7107.0,4169.0,2090.0,1722.0,12655.0,21.6,4182.396928026351,0.483915042
1981-03-01,91210.0,97206.0,59.4,0.8402347240518456,7079.0,4221.0,2124.0,1790.0,12786.0,21.7,4174.344790121395,0.487095966
