date,laborforce_total,laborforce_rate,laborforce_rate_workage,laborforce_not,pop,laborforce_jobfindrate,laborforce_jobseparaterate
1980-01-01,106562.0,64.0,78.7,59982.0,142424.199649132,,
1980-02-01,106697.0,64.0,78.7,60062.0,142600.825247505,0.6275617738111702,0.1316515379288863
1980-03-01,106442.0,63.7,78.6,60542.0,142750.597424673,0.6126225285760718,0.13173317349976435
1980-04-01,106591.0,63.8,78.7,60606.0,142869.817125052,0.5241402044838291,0.13912057035912478
1980-05-01,106929.0,63.9,78.6,60478.0,143195.963483855,0.553586163624396,0.15192632258952443
1980-06-01,106780.0,63.7,78.5,60863.0,143425.883370667,0.5322201989017136,0.15666741588819716
1980-07-01,107159.0,63.8,78.6,60773.0,143586.011947785,0.501362024592643,0.16056747585108477
1980-08-01,107105.0,63.7,78.6,60998.0,143812.090623574,0.5415449700380578,0.16139523675470935
1980-09-01,107098.0,63.6,78.7,61199.0,143902.963945722,0.5306644792271574,0.1573275546015594
1980-10-01,107405.0,63.7,78.7,61098.0,144011.561078503,0.5026721113029838,0.15601913518156232
1980-11-01,107568.0,63.8,78.7,61127.0,144156.166306789,0.5058512049902547,0.15522577946815455
1980-12-01,107352.0,63.6,78.8,61531.0,144232.536141905,0.5517012848833897,0.1513165921105889
1981-01-01,108026.0,63.9,79.0,61078.0,144348.909538932,0.4847792654835546,0.1530788113783714
1981-02-01,108242.0,63.9,79.0,61038.0,144476.71477072503,0.5271897388491816,0.154920865422866
1981-03-01,108553.0,64.1,79.3,60900.0,144664.748805758,0.5480692424377437,0.15393160230043618
1981-04-01,108925.0,64.2,79.4,60716.0,144844.167273804,0.5330365608910713,0.15131963888448657
1981-05-01,109222.0,64.3,79.6,60607.0,145091.669253854,0.501633452446681,0.15343144655715343
1981-06-01,108396.0,63.7,79.3,61646.0,145394.357692213,0.5411309732613196,0.1547021071858689
1981-07-01,108556.0,63.8,79.2,61690.0,145483.782104344,0.5751720720250337,0.15290576015679258
1981-08-01,108725.0,63.8,79.2,61674.0,145579.252848849,0.5112072303342545,0.15232213802523395
1981-09-01,108294.0,63.5,79.0,62299.0,145638.188259465,0.5285274230110732,0.1560145197084343
1981-10-01,109024.0,63.8,79.4,61785.0,145813.478932736,0.5003501049255512,0.1627778486279973
1981-11-01,109236.0,63.9,79.6,61760.0,145969.303696922,0.5051742622051844,0.16940690427594118
1981-12-01,108912.0,63.6,79.4,62254.0,146086.800902468,0.529344326504514,0.17512826080207322
1982-01-01,109089.0,63.7,79.4,62246.0,145930.468444041,0.5266327904427732,0.1788377942983653
1982-02-01,109467.0,63.8,79.6,62022.0,146022.664187483,0.4659467423825609,0.18210536029820862
1982-03-01,109567.0,63.8,79.6,62100.0,146212.111895608,0.4810484279500175,0.1862231960276728
1982-04-01,109820.0,63.9,79.6,62024.0,146535.75641853298,0.4525916745097325,0.19113430706706622
1982-05-01,110451.0,64.2,79.9,61575.0,146813.304785654,0.4626120375295977,0.19435242895054966
1982-06-01,110081.0,63.9,79.9,62109.0,146956.455591968,0.3993878212803719,0.19505842253893008
1982-07-01,110342.0,64.0,80.0,62022.0,147080.616269577,0.4205720021575159,0.20138570995810154
1982-08-01,110514.0,64.1,80.0,61997.0,147238.252055286,0.4401647634556733,0.20378518913398624
1982-09-01,110721.0,64.1,80.0,61969.0,147385.257901972,0.4058787585794194,0.20711079355983592
1982-10-01,110744.0,64.1,80.0,62137.0,147579.669744761,0.38194083051243316,0.21228218390873044
1982-11-01,111050.0,64.2,79.9,62008.0,147627.599279012,0.36993421404886667,0.2190821484523329
1982-12-01,111083.0,64.1,80.0,62116.0,147748.248525305,0.38638214289763084,0.2229730964630949
1983-01-01,110695.0,63.9,79.8,62659.0,147228.955741376,0.4248197401754671,0.21808582888818878
1983-02-01,110634.0,63.8,79.6,62871.0,147333.655853685,0.38759214565939104,0.2147884157672291
1983-03-01,110587.0,63.7,79.7,63069.0,147639.364638189,0.37863047793196497,0.21312051077804434
1983-04-01,110828.0,63.8,79.9,62966.0,147974.934023791,0.3893353755472061,0.21078881428250015
1983-05-01,110796.0,63.7,79.9,63157.0,148251.559206076,0.3907968570079894,0.2080150890991716
1983-06-01,111879.0,64.3,80.2,62246.0,148288.029810576,0.3889269877759204,0.20839713626215323
1983-07-01,111756.0,64.1,80.2,62550.0,148471.764174324,0.46146822299712953,0.19978389285096726
1983-08-01,112231.0,64.3,80.4,62209.0,148599.518098394,0.4113126609611922,0.19541916539657292
1983-09-01,112298.0,64.3,80.5,62304.0,148723.597652208,0.4890677549438347,0.1923853950882278
1983-10-01,111926.0,64.0,80.2,62853.0,148852.536663502,0.47472199866160514,0.18490790483401032
1983-11-01,112228.0,64.1,80.2,62723.0,148923.028130173,0.4744435307116531,0.17817682566985932
1983-12-01,112327.0,64.1,80.3,62794.0,149073.461760385,0.48031027159641454,0.17322399444981032
1984-01-01,112209.0,63.9,80.1,63324.0,149125.910896496,0.49305146939902234,0.1682200868469169
1984-02-01,112615.0,64.1,80.3,63064.0,149273.125988613,0.49993194912884564,0.16376225712498083
1984-03-01,112713.0,64.1,80.4,63111.0,149425.831900823,0.48529455220844336,0.1609789163782385
1984-04-01,113098.0,64.3,80.6,62871.0,149651.565246639,0.48219749942050016,0.1606917034096356
1984-05-01,113649.0,64.5,80.8,62474.0,149740.870341911,0.5047949973078639,0.15685847675638398
1984-06-01,113817.0,64.6,80.8,62467.0,149942.081389647,0.5324629510708007,0.15177556691581218
1984-07-01,113972.0,64.6,81.0,62468.0,149998.881403254,0.4692745005222195,0.15285015372124172
1984-08-01,113682.0,64.4,81.0,62901.0,150083.151822336,0.5446181226458743,0.1556617122447401
1984-09-01,113857.0,64.4,80.7,62906.0,150263.211023079,0.5244961342949753,0.15373443199631046
1984-10-01,114019.0,64.4,80.9,62937.0,150351.196375119,0.5232929637004627,0.15269764132619965
1984-11-01,114170.0,64.5,80.8,62965.0,150517.604668288,0.556102101802492,0.15084423514316042
1984-12-01,114581.0,64.6,81.0,62725.0,150718.25127846,0.49705569551816026,0.15049777021908006
1985-01-01,114725.0,64.7,81.3,62659.0,150514.467651368,0.5638121851971882,0.15287438423740415
1985-02-01,114876.0,64.7,81.2,62640.0,150630.6527701,0.5519873543838347,0.15160809487218205
1985-03-01,115328.0,64.9,81.4,62339.0,150784.929148696,0.5460085118557839,0.15090332645139837
1985-04-01,115331.0,64.9,81.5,62468.0,150942.990030037,0.5325247598948233,0.15086874051563598
1985-05-01,115234.0,64.8,81.2,62710.0,151018.059063152,0.5592287276533956,0.1505153835053201
1985-06-01,114965.0,64.6,81.3,63131.0,151216.51403333,0.5227814976619828,0.15139085916555947
1985-07-01,115320.0,64.7,81.3,62943.0,151227.426213858,0.5343467400051332,0.15357157421041948
1985-08-01,115291.0,64.6,81.4,63114.0,151336.562984098,0.5819771894517757,0.15030356534700287
1985-09-01,115905.0,64.9,81.8,62667.0,151468.907059961,0.5446598614386511,0.14845150346177174
1985-10-01,116145.0,65.0,81.6,62625.0,151606.059736042,0.5260557915116443,0.14826912000945783
1985-11-01,116135.0,64.9,81.6,62805.0,151784.257461458,0.5759266876113691,0.1470040712375281
1985-12-01,116354.0,65.0,81.7,62758.0,151945.129901702,0.5382234587742348,0.14550489453202475
1986-01-01,116682.0,64.9,81.7,62988.0,152393.832331186,0.6009473535691573,0.14208326334162572
1986-02-01,116882.0,65.0,81.6,62939.0,152478.014190186,0.46710852967419114,0.14470783429909298
1986-03-01,117220.0,65.1,81.8,62765.0,152680.408776242,0.5509354093260983,0.14937109626799772
1986-04-01,117316.0,65.1,81.8,62832.0,152718.15143214,0.5646984669791699,0.14882076420810805
1986-05-01,117528.0,65.2,81.8,62783.0,152904.497487752,0.544339711143308,0.14914486136154181
1986-06-01,118084.0,65.4,82.1,62419.0,152989.085982298,0.5196331075030328,0.14973609446257224
1986-07-01,118129.0,65.4,82.1,62553.0,153083.54199324,0.5572971334766216,0.14779130592794562
1986-08-01,118150.0,65.3,82.1,62678.0,153259.44794346,0.5718309727759553,0.14463844150212915
1986-09-01,118395.0,65.4,82.3,62602.0,153423.730586854,0.5059206476536747,0.14454247933286965
1986-10-01,118516.0,65.4,82.3,62670.0,153542.618672773,0.5432344521890009,0.1450939628034104
1986-11-01,118634.0,65.4,82.3,62729.0,153735.235895829,0.5374206473245706,0.14345928740472588
1986-12-01,118611.0,65.3,82.3,62936.0,153833.350459429,0.5761134280109504,0.14012131448391418
1987-01-01,118845.0,65.4,82.2,62982.0,153906.502894379,0.5601867995932307,0.1383894738328432
1987-02-01,119122.0,65.5,82.3,62876.0,154105.411130552,0.5524821444770021,0.13772822907863813
1987-03-01,119270.0,65.5,82.4,62909.0,154176.127585496,0.5636927460605624,0.1373792151563715
1987-04-01,119336.0,65.4,82.5,63008.0,154373.05755155097,0.5849923026113139,0.13370008008558218
1987-05-01,120008.0,65.7,82.6,62525.0,154518.61954575,0.5714530078950889,0.13194185315135054
