date,unemp_lvl,unemp_ft,unemp_pt,unemp_lvl_5,unemp_lvl_514,unemp_lvl_16,unemp_lvl_loser,unemp_lvl_leaver,unemp_lvl_retrant,unemp_lvl_newentrant,unemp_lvl_entrant,loser_wk5,leaver_wk5,retrant_wk5,newentrant_wk5,entrant_wk5,loser_wk514,leaver_wk514,retrant_wk514,newentrant_wk514,entrant_wk514,loser_wk15,leaver_wk15,retrant_wk15,newentrant_wk15,entrant_wk15,leaver_hazardinflow,loser_hazardinflow,entrant_hazardinflow
1980-01-01,6683.0,5276.0,1393.0,3215.0,2063.0,1353.0,3818.0,846.0,1874.0,695.0,2569.0,1721.9180000000001,450.07200000000006,1062.558,368.35,1430.908,1282.848,224.19,489.11400000000003,190.43,679.5440000000001,817.052,171.738,322.328,136.22000000000003,458.548,,,
1980-02-01,6702.0,5285.0,1381.0,3134.0,2200.0,1358.0,3728.0,832.0,1865.0,751.0,2616.0,1252.608,395.2,913.85,392.77299999999997,1306.623,1614.224,279.552,617.315,209.52899999999997,826.844,861.168,157.248,333.835,149.44899999999998,483.284,0.01623759530098548,0.005518465068089064,0.03694852659662164
1980-03-01,6729.0,5391.0,1344.0,3097.0,2272.0,1457.0,3603.0,806.0,1836.0,737.0,2573.0,1131.3419999999999,395.746,929.0160000000001,339.75700000000006,1268.7730000000001,1426.7880000000002,243.412,574.668,246.158,820.826,1044.87,166.842,330.48,151.822,482.302,0.014515163160610954,0.0055946649135212,0.03607017776097299
1980-04-01,7358.0,5992.0,1390.0,3374.0,2388.0,1694.0,3768.0,850.0,1753.0,652.0,2405.0,1307.496,408.85,887.018,342.95200000000006,1229.97,1156.7759999999998,235.45,506.61699999999996,158.436,665.053,1303.728,205.7,359.365,150.612,509.977,0.016567238516841838,0.005573692188214159,0.03594569037120541
1980-05-01,7984.0,6589.0,1384.0,3754.0,2608.0,1740.0,3905.0,855.0,1894.0,846.0,2740.0,1530.76,419.805,1066.322,494.91,1561.232,1151.975,247.95,498.12200000000007,196.27200000000002,694.3940000000001,1222.265,187.245,329.556,154.818,484.374,0.019894574269277925,0.005834398921211561,0.04503067274282208
1980-06-01,8098.0,6687.0,1376.0,3409.0,2879.0,1760.0,4027.0,894.0,2225.0,1333.0,3558.0,1522.2059999999997,438.954,1408.425,975.7560000000001,2384.181,1345.0179999999998,272.67,560.7,262.601,823.301,1155.749,182.37599999999998,258.1,94.64299999999999,352.743,0.019777618400325103,0.006059838274997216,0.07177478038730117
1980-07-01,8363.0,6967.0,1388.0,3458.0,2817.0,1995.0,4450.0,937.0,1955.0,1261.0,3216.0,1619.8,438.51599999999996,973.59,621.673,1595.263,1561.95,318.58,735.08,535.925,1271.005,1268.25,179.90399999999997,244.375,103.40199999999999,347.777,0.020569515714622007,0.006011744752018913,0.046514250880293734
1980-08-01,8281.0,6877.0,1356.0,3415.0,2658.0,2162.0,4249.0,1052.0,1927.0,973.0,2900.0,1457.407,476.556,973.135,399.903,1373.038,1453.1580000000001,357.68,666.742,473.85100000000006,1140.593,1334.1860000000001,217.76399999999998,287.123,99.24599999999998,386.36899999999997,0.019215946303668886,0.006318440697522058,0.039342761125557096
1980-09-01,8021.0,6720.0,1353.0,3150.0,2613.0,2309.0,3795.0,997.0,2028.0,833.0,2861.0,1240.9650000000001,487.53299999999996,1164.072,421.49800000000005,1585.57,1203.015,309.07,543.504,281.554,825.058,1351.02,200.39700000000002,320.42400000000004,130.78099999999998,451.20500000000004,0.01647564614675995,0.006937782719163853,0.04653130113783252
1980-10-01,8088.0,6645.0,1449.0,3236.0,2544.0,2306.0,3778.0,941.0,2146.0,810.0,2956.0,1258.0739999999998,433.801,1109.4820000000002,366.93,1476.4120000000003,1140.956,325.586,675.99,257.58,933.5699999999999,1382.7480000000003,181.613,360.528,186.3,546.828,0.016122713178468858,0.006067169710277825,0.040911796917825226
